Country,Date,Confirmed
France,4/1/20,51
France,4/2/20,51
France,4/3/20,57
France,4/4/20,61
France,4/5/20,61
France,4/6/20,72
France,4/7/20,72
France,4/8/20,77
France,4/9/20,83
France,4/10/20,83
France,4/11/20,83
France,4/12/20,86
France,4/13/20,86
France,4/14/20,86
France,4/15/20,86
France,4/16/20,86
France,4/17/20,96
France,4/18/20,96
France,4/19/20,96
France,4/20/20,97
France,4/21/20,97
France,4/22/20,97
France,4/23/20,107
France,4/24/20,111
France,4/25/20,111
France,4/26/20,111
France,4/27/20,111
France,4/28/20,125
France,4/29/20,125
France,4/30/20,126
France,5/1/20,128
France,4/1/20,37
France,4/2/20,37
France,4/3/20,39
France,4/4/20,40
France,4/5/20,41
France,4/6/20,42
France,4/7/20,47
France,4/8/20,51
France,4/9/20,51
France,4/10/20,51
France,4/11/20,51
France,4/12/20,53
France,4/13/20,55
France,4/14/20,55
France,4/15/20,55
France,4/16/20,55
France,4/17/20,55
France,4/18/20,55
France,4/19/20,55
France,4/20/20,56
France,4/21/20,56
France,4/22/20,57
France,4/23/20,57
France,4/24/20,57
France,4/25/20,57
France,4/26/20,57
France,4/27/20,57
France,4/28/20,58
France,4/29/20,58
France,4/30/20,58
France,5/1/20,58
France,4/1/20,125
France,4/2/20,128
France,4/3/20,130
France,4/4/20,134
France,4/5/20,135
France,4/6/20,135
France,4/7/20,139
France,4/8/20,141
France,4/9/20,141
France,4/10/20,143
France,4/11/20,143
France,4/12/20,143
France,4/13/20,143
France,4/14/20,145
France,4/15/20,145
France,4/16/20,145
France,4/17/20,145
France,4/18/20,148
France,4/19/20,148
France,4/20/20,148
France,4/21/20,148
France,4/22/20,148
France,4/23/20,148
France,4/24/20,149
France,4/25/20,149
France,4/26/20,149
France,4/27/20,149
France,4/28/20,149
France,4/29/20,149
France,4/30/20,151
France,5/1/20,152
France,4/1/20,94
France,4/2/20,116
France,4/3/20,128
France,4/4/20,134
France,4/5/20,147
France,4/6/20,147
France,4/7/20,171
France,4/8/20,171
France,4/9/20,184
France,4/10/20,191
France,4/11/20,196
France,4/12/20,196
France,4/13/20,207
France,4/14/20,217
France,4/15/20,217
France,4/16/20,233
France,4/17/20,245
France,4/18/20,254
France,4/19/20,271
France,4/20/20,271
France,4/21/20,311
France,4/22/20,326
France,4/23/20,326
France,4/24/20,354
France,4/25/20,380
France,4/26/20,401
France,4/27/20,401
France,4/28/20,460
France,4/29/20,460
France,4/30/20,539
France,5/1/20,539
France,4/1/20,16
France,4/2/20,18
France,4/3/20,18
France,4/4/20,17
France,4/5/20,18
France,4/6/20,18
France,4/7/20,18
France,4/8/20,18
France,4/9/20,18
France,4/10/20,18
France,4/11/20,18
France,4/12/20,18
France,4/13/20,18
France,4/14/20,18
France,4/15/20,18
France,4/16/20,18
France,4/17/20,18
France,4/18/20,18
France,4/19/20,18
France,4/20/20,18
France,4/21/20,18
France,4/22/20,18
France,4/23/20,18
France,4/24/20,18
France,4/25/20,18
France,4/26/20,18
France,4/27/20,18
France,4/28/20,18
France,4/29/20,18
France,4/30/20,18
France,5/1/20,18
France,4/1/20,281
France,4/2/20,308
France,4/3/20,321
France,4/4/20,334
France,4/5/20,344
France,4/6/20,349
France,4/7/20,358
France,4/8/20,358
France,4/9/20,362
France,4/10/20,382
France,4/11/20,388
France,4/12/20,389
