Date,Type,Case
1/22/2020,Confirmed,0
1/22/2020,New Cases,0
1/22/2020,Recovered,0
1/23/2020,Confirmed,2
1/23/2020,New Cases,0
1/23/2020,Recovered,0
1/24/2020,Confirmed,2
1/24/2020,New Cases,2
1/24/2020,Recovered,0
1/25/2020,Confirmed,2
1/25/2020,New Cases,0
1/25/2020,Recovered,0
1/26/2020,Confirmed,2
1/26/2020,New Cases,0
1/26/2020,Recovered,0
1/27/2020,Confirmed,2
1/27/2020,New Cases,0
1/27/2020,Recovered,0
1/28/2020,Confirmed,2
1/28/2020,New Cases,0
1/28/2020,Recovered,0
1/29/2020,Confirmed,2
1/29/2020,New Cases,0
1/29/2020,Recovered,0
1/30/2020,Confirmed,2
1/30/2020,New Cases,0
1/30/2020,Recovered,0
1/31/2020,Confirmed,2
1/31/2020,New Cases,3
1/31/2020,Recovered,0
2/1/2020,Confirmed,6
2/1/2020,New Cases,0
2/1/2020,Recovered,1
2/2/2020,Confirmed,6
2/2/2020,New Cases,2
2/2/2020,Recovered,1
2/3/2020,Confirmed,8
2/3/2020,New Cases,1
2/3/2020,Recovered,1
2/4/2020,Confirmed,8
2/4/2020,New Cases,1
2/4/2020,Recovered,1
2/5/2020,Confirmed,8
2/5/2020,New Cases,1
2/5/2020,Recovered,1
2/6/2020,Confirmed,10
2/6/2020,New Cases,0
2/6/2020,Recovered,1
2/7/2020,Confirmed,10
2/7/2020,New Cases,2
2/7/2020,Recovered,1
2/8/2020,Confirmed,13
2/8/2020,New Cases,1
2/8/2020,Recovered,1
2/9/2020,Confirmed,13
2/9/2020,New Cases,1
2/9/2020,Recovered,1
2/10/2020,Confirmed,14
2/10/2020,New Cases,0
2/10/2020,Recovered,1
2/11/2020,Confirmed,15
2/11/2020,New Cases,1
2/11/2020,Recovered,6
2/12/2020,Confirmed,15
2/12/2020,New Cases,0
2/12/2020,Recovered,6
2/13/2020,Confirmed,16
2/13/2020,New Cases,1
2/13/2020,Recovered,7
2/14/2020,Confirmed,16
2/14/2020,New Cases,0
2/14/2020,Recovered,7
2/15/2020,Confirmed,16
2/15/2020,New Cases,0
2/15/2020,Recovered,7
2/16/2020,Confirmed,16
2/16/2020,New Cases,0
2/16/2020,Recovered,7
2/17/2020,Confirmed,16
2/17/2020,New Cases,0
2/17/2020,Recovered,7
2/18/2020,Confirmed,16
2/18/2020,New Cases,0
2/18/2020,Recovered,7
2/19/2020,Confirmed,16
2/19/2020,New Cases,0
2/19/2020,Recovered,7
2/20/2020,Confirmed,16
2/20/2020,New Cases,0
2/20/2020,Recovered,7
2/21/2020,Confirmed,16
2/21/2020,New Cases,0
2/21/2020,Recovered,14
2/22/2020,Confirmed,16
2/22/2020,New Cases,0
2/22/2020,Recovered,14
2/23/2020,Confirmed,16
2/23/2020,New Cases,0
2/23/2020,Recovered,14
2/24/2020,Confirmed,16
2/24/2020,New Cases,0
2/24/2020,Recovered,14
2/25/2020,Confirmed,16
2/25/2020,New Cases,0
2/25/2020,Recovered,16
2/26/2020,Confirmed,16
2/26/2020,New Cases,0
2/26/2020,Recovered,16
2/27/2020,Confirmed,16
2/27/2020,New Cases,0
2/27/2020,Recovered,16
2/28/2020,Confirmed,16
2/28/2020,New Cases,0
2/28/2020,Recovered,16
